experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
985b6a52-8779-416e-acaa-e1d8b452462c,2022-07-22-19-15-47,2022-07-22-19-15-47,False,2022-07-22 19:15:48.182879,2022-07-22 19:20:28.841831,0 days 00:04:40.658952,Pipeline has been completed.,experiment.csv,0.8170149764982874,True,2022-07-22 19:20:28.841831
05f6c8ff-bc10-438e-8583-dd30ea7355ee,2022-07-22-23-13-02,2022-07-22-23-13-02,True,2022-07-22 23:13:03.742240,,,Pipeline has been started.,experiment.csv,,,2022-07-22 23:13:03.742240
b71d6af8-7bbc-4727-85c9-d6ec57dc7524,2022-07-22-23-13-30,2022-07-22-23-13-30,True,2022-07-22 23:13:31.516289,,,Pipeline has been started.,experiment.csv,,,2022-07-22 23:13:31.557406
be3931e7-43ba-4ce9-97a9-701ca3c962fc,2022-07-22-23-14-15,2022-07-22-23-14-15,True,2022-07-22 23:14:17.139876,,,Pipeline has been started.,experiment.csv,,,2022-07-22 23:14:17.172124
2799cb0d-b453-47ce-a0b0-2f68cfb0633c,2022-07-22-23-14-27,2022-07-22-23-14-27,True,2022-07-22 23:14:28.278564,,,Pipeline has been started.,experiment.csv,,,2022-07-22 23:14:28.318732
7075b87a-689a-4e6a-8f4a-7a75d270e86a,2022-07-22-23-15-14,2022-07-22-23-15-14,True,2022-07-22 23:15:15.987752,,,Pipeline has been started.,experiment.csv,,,2022-07-22 23:15:16.028313
7075b87a-689a-4e6a-8f4a-7a75d270e86a,2022-07-22-23-15-14,2022-07-22-23-15-14,False,2022-07-22 23:15:15.987752,2022-07-22 23:20:31.348824,0 days 00:05:15.361072,Pipeline has been completed.,experiment.csv,0.8170149764982874,True,2022-07-22 23:20:31.348824
31406945-fb64-408e-8f98-4358eeeadf0c,2022-07-23-00-10-03,2022-07-23-00-10-03,True,2022-07-23 00:10:04.726678,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:10:04.764474
2d06a3f6-8608-4c1a-aaa2-76ec8a7f1c66,2022-07-23-00-12-32,2022-07-23-00-12-32,True,2022-07-23 00:12:33.416625,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:12:33.455998
942fb600-e0bf-421f-a35e-c06f08fd02dd,2022-07-23-00-15-06,2022-07-23-00-15-06,True,2022-07-23 00:15:07.543297,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:15:07.543297
3a1fa2bf-6a89-456f-b3fb-bebff8ee30ff,2022-07-23-00-17-26,2022-07-23-00-17-26,True,2022-07-23 00:17:27.399959,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:17:27.442233
b3cbd0a3-71d3-4fa7-a1b3-f64fa81416d0,2022-07-23-00-28-05,2022-07-23-00-28-05,True,2022-07-23 00:28:06.537575,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:28:06.537575
eeca6aef-57fa-45b9-944c-b790b74193db,2022-07-23-00-41-58,2022-07-23-00-41-58,True,2022-07-23 00:41:59.130536,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:41:59.171152
db07f23f-cf6d-4f78-86c6-05f4d5aed338,2022-07-23-00-58-02,2022-07-23-00-58-02,True,2022-07-23 00:58:03.514429,,,Pipeline has been started.,experiment.csv,,,2022-07-23 00:58:03.554691
b93aa824-ba7e-455e-9bf2-c427c8667fb2,2022-07-23-01-06-12,2022-07-23-01-06-12,True,2022-07-23 01:06:14.259845,,,Pipeline has been started.,experiment.csv,,,2022-07-23 01:06:14.301624
b93aa824-ba7e-455e-9bf2-c427c8667fb2,2022-07-23-01-06-12,2022-07-23-01-06-12,False,2022-07-23 01:06:14.259845,2022-07-23 01:11:44.202046,0 days 00:05:29.942201,Pipeline has been completed.,experiment.csv,0.8170149764982874,True,2022-07-23 01:11:44.202046
ee1c57ed-29ee-4402-99c5-1daef666411d,2022-07-23-01-30-07,2022-07-23-01-30-07,True,2022-07-23 01:30:07.637212,,,Pipeline has been started.,experiment.csv,,,2022-07-23 01:30:07.637212
ee1c57ed-29ee-4402-99c5-1daef666411d,2022-07-23-01-30-07,2022-07-23-01-30-07,False,2022-07-23 01:30:07.637212,2022-07-23 01:35:35.726034,0 days 00:05:28.088822,Pipeline has been completed.,experiment.csv,0.8170149764982874,True,2022-07-23 01:35:35.726034
